ClassName,LOC (from Methods CFG),Number of Methods, Weighed Method Count,AttributeCount,FieldCount,DepthOfInheritance
org/assertj/core/api/AssertionsForInterfaceTypes,198.0,22.0,22.0,0.0,0.0,2.0
org/assertj/core/api/AssertProvider,2.0,1.0,1.0,0.0,0.0,0.0
org/assertj/core/api/Assumptions$AssumptionMethodInterceptor,53.0,3.0,6.0,0.0,0.0,-1.0
org/assertj/core/api/Assumptions,1047.0,86.0,92.0,0.0,0.0,1.0
org/assertj/core/api/AtomicBooleanAssert,99.0,6.0,7.0,0.0,1.0,2.0
org/assertj/core/api/AtomicIntegerArrayAssert,482.0,30.0,31.0,0.0,2.0,3.0
org/assertj/core/api/AtomicIntegerAssert,455.0,18.0,20.0,0.0,2.0,2.0
org/assertj/core/api/AtomicIntegerFieldUpdaterAssert,53.0,5.0,5.0,0.0,0.0,4.0
org/assertj/core/api/AtomicLongArrayAssert,482.0,30.0,31.0,0.0,2.0,3.0
org/assertj/core/api/AtomicLongAssert,455.0,18.0,20.0,0.0,2.0,2.0
org/assertj/core/api/AtomicLongFieldUpdaterAssert,53.0,5.0,5.0,0.0,0.0,4.0
org/assertj/core/api/AtomicMarkableReferenceAssert,87.0,6.0,8.0,0.0,0.0,4.0
org/assertj/core/api/AtomicReferenceArrayAssert,2453.0,157.0,166.0,0.0,6.0,2.0
org/assertj/core/api/AtomicReferenceAssert,87.0,3.0,5.0,0.0,0.0,2.0
org/assertj/core/api/AtomicReferenceFieldUpdaterAssert,43.0,4.0,4.0,0.0,0.0,4.0
org/assertj/core/api/AtomicStampedReferenceAssert,65.0,5.0,6.0,0.0,0.0,4.0
org/assertj/core/api/AutoCloseableBDDSoftAssertions,16.0,2.0,2.0,0.0,0.0,5.0
org/assertj/core/api/AutoCloseableSoftAssertions,16.0,2.0,2.0,0.0,0.0,5.0
org/assertj/core/api/BDDAssertions,599.0,85.0,85.0,0.0,0.0,2.0
org/assertj/core/api/BDDSoftAssertions,32.0,2.0,3.0,0.0,0.0,4.0
org/assertj/core/api/BigDecimalAssert,11.0,1.0,1.0,0.0,0.0,5.0
org/assertj/core/api/BigIntegerAssert,11.0,1.0,1.0,0.0,0.0,5.0
org/assertj/core/api/BooleanArrayAssert,11.0,1.0,1.0,0.0,0.0,5.0
org/assertj/core/api/BooleanAssert,31.0,2.0,3.0,0.0,0.0,3.0
org/assertj/core/api/ByteArrayAssert,11.0,1.0,1.0,0.0,0.0,5.0
org/assertj/core/api/ByteAssert,11.0,1.0,1.0,0.0,0.0,5.0
org/assertj/core/api/CharacterAssert,11.0,1.0,1.0,0.0,0.0,5.0
org/assertj/core/api/CharArrayAssert,11.0,1.0,1.0,0.0,0.0,5.0
org/assertj/core/api/CharSequenceAssert,11.0,1.0,1.0,0.0,0.0,3.0
org/assertj/core/api/ClassAssert,28.0,3.0,3.0,0.0,0.0,3.0
org/assertj/core/api/ClassBasedNavigableIterableAssert,135.0,3.0,7.0,0.0,1.0,3.0
org/assertj/core/api/ClassBasedNavigableListAssert,135.0,3.0,7.0,0.0,1.0,4.0
org/assertj/core/api/ComparableAssert,16.0,8.0,8.0,0.0,0.0,0.0
org/assertj/core/api/ComparatorFactory$1,74.0,4.0,6.0,0.0,2.0,1.0
org/assertj/core/api/ComparatorFactory$2,74.0,4.0,6.0,0.0,2.0,1.0
org/assertj/core/api/ComparatorFactory,44.0,4.0,4.0,0.0,1.0,1.0
org/assertj/core/api/CompletableFutureAssert,11.0,1.0,1.0,0.0,0.0,3.0
org/assertj/core/api/Condition,202.0,16.0,16.0,0.0,2.0,1.0
org/assertj/core/api/DateAssert,11.0,1.0,1.0,0.0,0.0,3.0
org/assertj/core/api/Descriptable,8.0,4.0,4.0,0.0,0.0,0.0
