ClassName,LOC (from Methods CFG),Number of Methods, Weighed Method Count,AttributeCount,FieldCount,DepthOfInheritance
org/assertj/core/error/ShouldBeGreaterOrEqual,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeIn,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeInSameDay,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeInSameHour,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeInSameHourWindow,44.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeInSameMinute,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeInSameMinuteWindow,44.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeInSameMonth,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeInSameSecond,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeInSameSecondWindow,44.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeInSameYear,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeInstance,112.0,5.0,6.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeInstanceOfAny,81.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeInterface,52.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeInTheFuture,40.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeInThePast,40.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeLess,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeLessOrEqual,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeLowerCase,25.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeMarked,44.0,3.0,4.0,0.0,2.0,2.0
org/assertj/core/error/ShouldBeNormalized,25.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/ShouldBeNullOrEmpty,25.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeOfClassIn,35.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeReadable,50.0,4.0,4.0,0.0,1.0,2.0
org/assertj/core/error/ShouldBeRegularFile,25.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/ShouldBeRelativePath,50.0,4.0,4.0,0.0,1.0,2.0
org/assertj/core/error/ShouldBeSame,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeSorted,207.0,6.0,8.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeSubsetOf,54.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeSubstring,35.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeSymbolicLink,25.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/ShouldBeToday,65.0,5.0,5.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeUpperCase,25.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldBeWritable,50.0,4.0,4.0,0.0,1.0,2.0
org/assertj/core/error/ShouldContain,50.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainAnyOf,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainAtIndex,60.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainCharSequence,123.0,7.0,7.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainCharSequenceOnlyOnce,107.0,4.0,6.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainCharSequenceSequence,70.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainEntry,69.0,4.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainExactly,290.0,12.0,14.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainExactlyInAnyOrder$ErrorType,68.0,4.0,4.0,0.0,3.0,2.0
org/assertj/core/error/ShouldContainExactlyInAnyOrder,139.0,3.0,6.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainKey,32.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainKeys,65.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainNull,25.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainOnly$ErrorType,68.0,4.0,4.0,0.0,3.0,2.0
org/assertj/core/error/ShouldContainOnly,150.0,4.0,7.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainOnlyDigits,64.0,4.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainOnlyKeys,108.0,4.0,5.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainOnlyNulls$ErrorType,68.0,4.0,4.0,0.0,3.0,2.0
org/assertj/core/error/ShouldContainOnlyNulls,118.0,5.0,8.0,0.0,1.0,2.0
org/assertj/core/error/ShouldContainPattern,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainSequence,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainsOnlyOnce,153.0,5.0,8.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainSubsequence,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainValue,60.0,4.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldContainValues,43.0,2.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldEndWith,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldEndWithPath,30.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/ShouldExist,69.0,5.0,6.0,0.0,3.0,2.0
org/assertj/core/error/ShouldHave,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveAnnotations,35.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveAtIndex,42.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveAtLeastOneElementOfType,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveBinaryContent,88.0,4.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveCause,182.0,5.0,9.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveCauseExactlyInstance,67.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveCauseInstance,66.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveContent,74.0,4.0,4.0,0.0,0.0,3.0
org/assertj/core/error/ShouldHaveDateField,36.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveExtension,72.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveFields,82.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveLineCount,44.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveMessage,31.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveMessageMatchingRegex,36.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveMethods,241.0,7.0,12.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveName,70.0,4.0,4.0,0.0,1.0,2.0
org/assertj/core/error/ShouldHaveNoCause,26.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveNoFields,95.0,4.0,7.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveNoNullFields,149.0,5.0,8.0,0.0,4.0,2.0
org/assertj/core/error/ShouldHaveNoParent,60.0,4.0,4.0,0.0,2.0,2.0
org/assertj/core/error/ShouldHaveNoSuppressedExceptions,25.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveOnlyElementsOfType,35.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveParent,159.0,7.0,9.0,0.0,4.0,2.0
org/assertj/core/error/ShouldHavePropertyOrField,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHavePropertyOrFieldWithValue,42.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveReference,35.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/ShouldHaveRootCauseExactlyInstance,69.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveRootCauseInstance,65.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveSameClass,42.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveSameContent,111.0,6.0,6.0,0.0,0.0,3.0
org/assertj/core/error/ShouldHaveSameHashCode,44.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveSameHourAs,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveSameSizeAs,48.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveSameTime,44.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveSize,44.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveStamp,37.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/ShouldHaveSuppressedException,46.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveTime,37.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveToString,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldHaveValue,70.0,4.0,4.0,0.0,2.0,2.0
org/assertj/core/error/ShouldMatch,64.0,3.0,4.0,0.0,1.0,2.0
org/assertj/core/error/ShouldMatchPattern,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotAccept,37.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotBe,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotBeBetween,88.0,3.0,5.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotBeBlank,25.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotBeEmpty,27.0,3.0,3.0,0.0,1.0,2.0
org/assertj/core/error/ShouldNotBeEqual,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotBeEqualIgnoringCase,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotBeEqualIgnoringWhitespace,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotBeEqualNormalizingWhitespace,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotBeEqualWithinOffset,48.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotBeEqualWithinPercentage,57.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotBeExactlyInstanceOf,68.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotBeIn,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotBeInstance,68.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotBeInstanceOfAny,68.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotBeNull,27.0,3.0,3.0,0.0,1.0,2.0
org/assertj/core/error/ShouldNotBeOfClassIn,35.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotBeSame,25.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotContain,52.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotContainAtIndex,54.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotContainCharSequence,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotContainKey,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotContainKeys,43.0,2.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotContainNull,25.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotContainPattern,32.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotContainSequence,53.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotContainSubsequence,55.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotContainValue,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotEndWith,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotExist,83.0,6.0,7.0,0.0,3.0,2.0
org/assertj/core/error/ShouldNotHave,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotHaveAnyElementsOfTypes,37.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotHaveDuplicates,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotHaveSameClass,35.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotHaveThrown,33.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotMatch,64.0,3.0,4.0,0.0,1.0,2.0
org/assertj/core/error/ShouldNotMatchPattern,30.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/ShouldNotStartWith,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldOnlyHaveElementsOfTypes,123.0,3.0,7.0,0.0,0.0,2.0
org/assertj/core/error/ShouldOnlyHaveFields$ErrorType,68.0,4.0,4.0,0.0,3.0,2.0
org/assertj/core/error/ShouldOnlyHaveFields,208.0,5.0,10.0,0.0,0.0,2.0
org/assertj/core/error/ShouldStartWith,46.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/error/ShouldStartWithPath,30.0,2.0,2.0,0.0,1.0,2.0
org/assertj/core/error/uri/ShouldHaveAnchor,67.0,3.0,4.0,0.0,2.0,2.0
org/assertj/core/error/uri/ShouldHaveAuthority,70.0,4.0,4.0,0.0,1.0,2.0
org/assertj/core/error/uri/ShouldHaveFragment,69.0,3.0,4.0,0.0,0.0,2.0
org/assertj/core/error/uri/ShouldHaveHost,70.0,4.0,4.0,0.0,1.0,2.0
org/assertj/core/error/uri/ShouldHaveParameter,391.0,10.0,24.0,0.0,14.0,2.0
org/assertj/core/error/uri/ShouldHavePath,135.0,6.0,8.0,0.0,2.0,2.0
org/assertj/core/error/uri/ShouldHavePort,142.0,6.0,8.0,0.0,3.0,2.0
org/assertj/core/error/uri/ShouldHaveProtocol,37.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/uri/ShouldHaveQuery,134.0,6.0,8.0,0.0,2.0,2.0
org/assertj/core/error/uri/ShouldHaveScheme,35.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/error/uri/ShouldHaveUserInfo,134.0,6.0,8.0,0.0,2.0,2.0
org/assertj/core/extractor/ByNameMultipleExtractor,177.0,5.0,10.0,0.0,1.0,1.0
org/assertj/core/extractor/ByNameSingleExtractor,90.0,2.0,6.0,0.0,1.0,1.0
org/assertj/core/extractor/Extractors,71.0,7.0,7.0,0.0,0.0,1.0
org/assertj/core/extractor/ResultOfExtractor,23.0,2.0,2.0,0.0,1.0,1.0
org/assertj/core/extractor/ToStringExtractor,25.0,3.0,3.0,0.0,0.0,1.0
org/assertj/core/groups/FieldsOrPropertiesExtractor,84.0,4.0,6.0,0.0,0.0,1.0
org/assertj/core/groups/Properties,109.0,7.0,8.0,0.0,3.0,1.0
org/assertj/core/groups/Tuple,118.0,7.0,10.0,0.0,1.0,1.0
org/assertj/core/internal/AbstractComparisonStrategy,191.0,9.0,18.0,0.0,0.0,1.0
org/assertj/core/internal/Arrays,2858.0,69.0,190.0,0.0,2.0,1.0
org/assertj/core/internal/AtomicReferenceArrayElementComparisonStrategy,148.0,6.0,16.0,0.0,1.0,3.0
org/assertj/core/internal/BigDecimals,107.0,12.0,13.0,0.0,1.0,3.0
org/assertj/core/internal/BigIntegers,108.0,12.0,13.0,0.0,1.0,3.0
org/assertj/core/internal/BinaryDiff,153.0,4.0,12.0,0.0,0.0,1.0
org/assertj/core/internal/BinaryDiffResult,76.0,4.0,6.0,0.0,4.0,1.0
org/assertj/core/internal/BooleanArrays,367.0,26.0,26.0,0.0,3.0,1.0
org/assertj/core/internal/Booleans,94.0,6.0,8.0,0.0,2.0,1.0
org/assertj/core/internal/ByteArrays,632.0,40.0,42.0,0.0,3.0,1.0
org/assertj/core/internal/Bytes,112.0,12.0,13.0,0.0,1.0,3.0
org/assertj/core/internal/Characters,82.0,6.0,8.0,0.0,1.0,2.0
org/assertj/core/internal/CharArrays,393.0,28.0,28.0,0.0,3.0,1.0
org/assertj/core/internal/Classes,1382.0,32.0,87.0,0.0,3.0,1.0
org/assertj/core/internal/CommonErrors,73.0,7.0,7.0,0.0,0.0,1.0
org/assertj/core/internal/CommonValidations,382.0,25.0,37.0,0.0,1.0,1.0
org/assertj/core/internal/Comparables,552.0,20.0,44.0,0.0,3.0,1.0
org/assertj/core/internal/ComparatorBasedComparisonStrategy,383.0,15.0,39.0,0.0,2.0,2.0
org/assertj/core/internal/ComparisonStrategy,28.0,14.0,14.0,0.0,0.0,0.0
org/assertj/core/internal/Conditions,155.0,9.0,13.0,0.0,2.0,1.0
org/assertj/core/internal/Dates,1632.0,58.0,112.0,0.0,4.0,1.0
org/assertj/core/internal/DeepDifference$Difference,70.0,5.0,5.0,0.0,3.0,1.0
org/assertj/core/internal/DeepDifference$DualKey,158.0,9.0,14.0,0.0,3.0,1.0
org/assertj/core/internal/DeepDifference,1885.0,17.0,116.0,0.0,2.0,1.0
org/assertj/core/internal/Diff,192.0,10.0,12.0,0.0,0.0,1.0
org/assertj/core/internal/DoubleArrays,393.0,28.0,28.0,0.0,3.0,1.0
org/assertj/core/internal/Doubles,99.0,12.0,12.0,0.0,1.0,4.0
org/assertj/core/internal/ErrorMessages,209.0,32.0,32.0,0.0,0.0,1.0
org/assertj/core/internal/ExtendedByTypesComparator$1,31.0,3.0,4.0,0.0,0.0,1.0
org/assertj/core/internal/ExtendedByTypesComparator,146.0,5.0,13.0,0.0,2.0,1.0
org/assertj/core/internal/Failures,351.0,14.0,21.0,0.0,4.0,1.0
org/assertj/core/internal/FieldByFieldComparator,113.0,5.0,11.0,0.0,2.0,1.0
org/assertj/core/internal/Files,705.0,22.0,44.0,0.0,5.0,1.0
org/assertj/core/internal/FloatArrays,393.0,28.0,28.0,0.0,3.0,1.0
org/assertj/core/internal/Floats,99.0,12.0,12.0,0.0,1.0,4.0
org/assertj/core/internal/Futures,144.0,8.0,12.0,0.0,2.0,1.0
org/assertj/core/internal/IgnoringFieldsComparator,85.0,5.0,6.0,0.0,1.0,2.0
org/assertj/core/internal/InputStreams,114.0,5.0,7.0,0.0,3.0,1.0
org/assertj/core/internal/InputStreamsException,21.0,2.0,2.0,0.0,1.0,4.0
org/assertj/core/internal/IntArrays,393.0,28.0,28.0,0.0,3.0,1.0
org/assertj/core/internal/Integers,111.0,12.0,13.0,0.0,1.0,3.0
org/assertj/core/internal/IterableDiff,155.0,6.0,12.0,0.0,3.0,1.0
org/assertj/core/internal/IterableElementComparisonStrategy,157.0,6.0,16.0,0.0,1.0,3.0
org/assertj/core/internal/Iterables,2776.0,74.0,179.0,0.0,5.0,1.0
org/assertj/core/internal/Lists,557.0,17.0,34.0,0.0,3.0,1.0
org/assertj/core/internal/LongArrays,393.0,28.0,28.0,0.0,3.0,1.0
org/assertj/core/internal/Longs,112.0,12.0,13.0,0.0,1.0,3.0
org/assertj/core/internal/Maps,1637.0,40.0,105.0,0.0,3.0,1.0
org/assertj/core/internal/NioFilesWrapper,84.0,11.0,11.0,0.0,1.0,1.0
org/assertj/core/internal/Numbers,399.0,19.0,31.0,0.0,0.0,2.0
org/assertj/core/internal/ObjectArrayElementComparisonStrategy,146.0,6.0,16.0,0.0,1.0,3.0
org/assertj/core/internal/ObjectArrays,970.0,52.0,62.0,0.0,4.0,1.0
org/assertj/core/internal/Objects$ByFieldsComparison,86.0,7.0,8.0,0.0,3.0,1.0
org/assertj/core/internal/Objects,1885.0,56.0,119.0,0.0,5.0,1.0
org/assertj/core/internal/OnFieldsComparator,189.0,5.0,11.0,0.0,1.0,2.0
org/assertj/core/internal/Paths,1097.0,33.0,68.0,0.0,8.0,1.0
org/assertj/core/internal/Predicates,40.0,4.0,4.0,0.0,2.0,1.0
org/assertj/core/internal/RealNumbers,76.0,7.0,8.0,0.0,0.0,3.0
org/assertj/core/internal/RecursiveFieldByFieldComparator,109.0,5.0,14.0,0.0,2.0,1.0
org/assertj/core/internal/ShortArrays,393.0,28.0,28.0,0.0,3.0,1.0
org/assertj/core/internal/Shorts,112.0,12.0,13.0,0.0,1.0,3.0
org/assertj/core/internal/StandardComparisonStrategy$1,40.0,2.0,4.0,0.0,1.0,1.0
org/assertj/core/internal/StandardComparisonStrategy,275.0,17.0,28.0,0.0,1.0,2.0
org/assertj/core/internal/Strings$Whitespace,37.0,3.0,4.0,0.0,3.0,1.0
org/assertj/core/internal/Strings,2101.0,66.0,148.0,0.0,3.0,1.0
org/assertj/core/internal/Throwables,558.0,19.0,46.0,0.0,2.0,1.0
org/assertj/core/internal/TypeComparators,171.0,7.0,15.0,0.0,1.0,1.0
org/assertj/core/internal/Uris,587.0,17.0,40.0,0.0,5.0,1.0
org/assertj/core/internal/Urls,460.0,16.0,32.0,0.0,2.0,1.0
org/assertj/core/matcher/AssertionMatcher,79.0,4.0,6.0,0.0,1.0,2.0
org/assertj/core/presentation/BinaryRepresentation,305.0,14.0,25.0,0.0,2.0,2.0
org/assertj/core/presentation/HexadecimalRepresentation,284.0,14.0,24.0,0.0,3.0,2.0
org/assertj/core/presentation/NumberGrouping,114.0,6.0,10.0,0.0,3.0,1.0
org/assertj/core/presentation/PredicateDescription,89.0,5.0,8.0,0.0,3.0,1.0
org/assertj/core/presentation/Representation,4.0,2.0,2.0,0.0,0.0,0.0
org/assertj/core/presentation/StandardRepresentation,1864.0,53.0,131.0,0.0,14.0,1.0
org/assertj/core/presentation/UnicodeRepresentation,152.0,6.0,11.0,0.0,1.0,2.0
org/assertj/core/util/AbstractComparableNumberComparator,37.0,4.0,4.0,0.0,0.0,2.0
org/assertj/core/util/Arrays,382.0,14.0,36.0,0.0,0.0,1.0
org/assertj/core/util/ArrayWrapperList,117.0,6.0,9.0,0.0,1.0,3.0
org/assertj/core/util/BigDecimalComparator,25.0,3.0,3.0,0.0,1.0,3.0
org/assertj/core/util/BigIntegerComparator,25.0,3.0,3.0,0.0,1.0,3.0
org/assertj/core/util/CheckReturnValue,0.0,0.0,0.0,0.0,0.0,0.0
org/assertj/core/util/Closeables,86.0,4.0,7.0,0.0,1.0,1.0
org/assertj/core/util/Compatibility$System,21.0,3.0,3.0,0.0,1.0,1.0
org/assertj/core/util/Compatibility,7.0,1.0,1.0,0.0,0.0,1.0
org/assertj/core/util/DateUtil,744.0,28.0,64.0,0.0,3.0,1.0
org/assertj/core/util/diff/ChangeDelta,128.0,4.0,7.0,0.0,0.0,2.0
org/assertj/core/util/diff/Chunk,268.0,9.0,19.0,0.0,2.0,1.0
org/assertj/core/util/diff/DeleteDelta,71.0,4.0,5.0,0.0,0.0,2.0
org/assertj/core/util/diff/Delta$TYPE,88.0,4.0,4.0,0.0,4.0,2.0
org/assertj/core/util/diff/Delta,238.0,10.0,23.0,0.0,4.0,1.0
org/assertj/core/util/diff/DeltaComparator,65.0,4.0,6.0,0.0,2.0,1.0
org/assertj/core/util/diff/DiffAlgorithm,2.0,1.0,1.0,0.0,0.0,0.0
org/assertj/core/util/diff/DiffUtils,1128.0,9.0,50.0,0.0,1.0,1.0
org/assertj/core/util/diff/InsertDelta,92.0,4.0,6.0,0.0,0.0,2.0
org/assertj/core/util/diff/myers/DiffNode,27.0,2.0,3.0,0.0,0.0,2.0
org/assertj/core/util/diff/myers/Equalizer,2.0,1.0,1.0,0.0,0.0,0.0
org/assertj/core/util/diff/myers/MyersDiff$1,20.0,2.0,2.0,0.0,1.0,1.0
org/assertj/core/util/diff/myers/MyersDiff,594.0,6.0,35.0,0.0,1.0,1.0
org/assertj/core/util/diff/myers/PathNode,145.0,5.0,11.0,0.0,3.0,1.0
org/assertj/core/util/diff/myers/Snake,18.0,2.0,2.0,0.0,0.0,2.0
org/assertj/core/util/diff/Patch,84.0,4.0,5.0,0.0,1.0,1.0
org/assertj/core/util/DoubleComparator,246.0,9.0,22.0,0.0,1.0,2.0
org/assertj/core/util/FailureMessages,25.0,3.0,3.0,0.0,0.0,1.0
org/assertj/core/util/Files,783.0,22.0,55.0,0.0,0.0,1.0
org/assertj/core/util/FloatComparator,223.0,9.0,22.0,0.0,1.0,2.0
org/assertj/core/util/Hexadecimals,50.0,3.0,3.0,0.0,1.0,1.0
org/assertj/core/util/introspection/ClassUtils,140.0,4.0,10.0,0.0,0.0,1.0
org/assertj/core/util/introspection/FieldSupport,476.0,18.0,31.0,0.0,6.0,2.0
org/assertj/core/util/introspection/FieldUtils,292.0,5.0,18.0,0.0,0.0,1.0
org/assertj/core/util/introspection/Introspection,248.0,5.0,12.0,0.0,0.0,1.0
org/assertj/core/util/introspection/IntrospectionError,21.0,2.0,2.0,0.0,1.0,4.0
org/assertj/core/util/introspection/MemberUtils,87.0,4.0,13.0,0.0,1.0,1.0
org/assertj/core/util/introspection/MethodSupport,160.0,6.0,9.0,0.0,2.0,1.0
org/assertj/core/util/introspection/PropertyOrFieldSupport,297.0,9.0,20.0,0.0,5.0,1.0
org/assertj/core/util/introspection/PropertySupport,375.0,13.0,27.0,0.0,2.0,1.0
org/assertj/core/util/IterableUtil,205.0,8.0,20.0,0.0,0.0,1.0
org/assertj/core/util/Lists,127.0,6.0,11.0,0.0,0.0,1.0
org/assertj/core/util/Maps,44.0,4.0,4.0,0.0,0.0,1.0
org/assertj/core/util/NullSafeComparator,40.0,3.0,6.0,0.0,0.0,1.0
org/assertj/core/util/Objects,225.0,6.0,22.0,0.0,1.0,1.0
org/assertj/core/util/Preconditions,159.0,11.0,18.0,0.0,1.0,1.0
org/assertj/core/util/Sets,126.0,7.0,11.0,0.0,0.0,1.0
org/assertj/core/util/Strings$StringsToJoin,139.0,3.0,9.0,0.0,1.0,1.0
org/assertj/core/util/Strings$StringToAppend,43.0,2.0,3.0,0.0,1.0,1.0
org/assertj/core/util/Strings,209.0,9.0,17.0,0.0,0.0,1.0
org/assertj/core/util/TextFileWriter,128.0,5.0,11.0,0.0,1.0,1.0
org/assertj/core/util/Throwables,296.0,7.0,17.0,0.0,3.0,1.0
org/assertj/core/util/URLs,335.0,8.0,26.0,0.0,0.0,1.0
org/assertj/core/util/VisibleForTesting,0.0,0.0,0.0,0.0,0.0,0.0
