From,To,Overlap
AbstractOptionalAssert.java,AbstractArrayAssert.java,0.039832285115303984
AbstractArrayAssert.java,AbstractOptionalDoubleAssert.java,0.08866995073891626
AbstractOptionalDoubleAssert.java,AbstractArrayAssert.java,0.08866995073891626
AbstractArrayAssert.java,AbstractOptionalIntAssert.java,0.10975609756097561
AbstractOptionalIntAssert.java,AbstractArrayAssert.java,0.10975609756097561
AbstractArrayAssert.java,AbstractOptionalLongAssert.java,0.11392405063291139
AbstractOptionalLongAssert.java,AbstractArrayAssert.java,0.11392405063291139
AbstractArrayAssert.java,AbstractPathAssert.java,0.014131338320864505
AbstractPathAssert.java,AbstractArrayAssert.java,0.014131338320864505
AbstractArrayAssert.java,AbstractPredicateAssert.java,0.10843373493975904
AbstractPredicateAssert.java,AbstractArrayAssert.java,0.10843373493975904
AbstractArrayAssert.java,AbstractPredicateLikeAssert.java,0.17647058823529413
AbstractPredicateLikeAssert.java,AbstractArrayAssert.java,0.17647058823529413
AbstractArrayAssert.java,AbstractShortArrayAssert.java,0.03870967741935484
AbstractShortArrayAssert.java,AbstractArrayAssert.java,0.03870967741935484
AbstractArrayAssert.java,AbstractShortAssert.java,0.03711340206185567
AbstractShortAssert.java,AbstractArrayAssert.java,0.03711340206185567
AbstractArrayAssert.java,AbstractSoftAssertions.java,0.0825242718446602
AbstractSoftAssertions.java,AbstractArrayAssert.java,0.0825242718446602
AbstractArrayAssert.java,AbstractStandardSoftAssertions.java,0.049707602339181284
AbstractStandardSoftAssertions.java,AbstractArrayAssert.java,0.049707602339181284
AbstractArrayAssert.java,AbstractTemporalAssert.java,0.1232876712328767
AbstractTemporalAssert.java,AbstractArrayAssert.java,0.1232876712328767
AbstractArrayAssert.java,AbstractThrowableAssert.java,0.04738154613466334
AbstractThrowableAssert.java,AbstractArrayAssert.java,0.04738154613466334
AbstractArrayAssert.java,AbstractUriAssert.java,0.042600896860986545
AbstractUriAssert.java,AbstractArrayAssert.java,0.042600896860986545
AbstractArrayAssert.java,AbstractUrlAssert.java,0.042222222222222223
AbstractUrlAssert.java,AbstractArrayAssert.java,0.042222222222222223
AbstractArrayAssert.java,AbstractZonedDateTimeAssert.java,0.020954598370197905
AbstractZonedDateTimeAssert.java,AbstractArrayAssert.java,0.020954598370197905
AbstractArrayAssert.java,ArraySortedAssert.java,0.1619047619047619
ArraySortedAssert.java,AbstractArrayAssert.java,0.1619047619047619
AbstractArrayAssert.java,Assert.java,0.022099447513812154
Assert.java,AbstractArrayAssert.java,0.022099447513812154
AbstractArrayAssert.java,AssertDelegateTarget.java,0.16842105263157894
AssertDelegateTarget.java,AbstractArrayAssert.java,0.16842105263157894
AbstractArrayAssert.java,AssertFactory.java,0.23529411764705882
AssertFactory.java,AbstractArrayAssert.java,0.23529411764705882
AbstractArrayAssert.java,AssertionInfo.java,0.2318840579710145
AssertionInfo.java,AbstractArrayAssert.java,0.2318840579710145
AbstractArrayAssert.java,Assertions.java,0.006421691045308598
Assertions.java,AbstractArrayAssert.java,0.006421691045308598
AbstractArrayAssert.java,AssertionsForClassTypes.java,0.009866511897852582
