Class Name,LOC (from Methods CFG),Number of Methods, Weighed Method Count
org/assertj/core/error/uri/ShouldHaveParameter,391,10,24
org/assertj/core/util/diff/Delta,238,10,23
org/assertj/core/api/SoftProxies$CollectErrorsOrCreateExtractedProxy,167,10,19
org/assertj/core/api/ErrorCollector$LastResult,150,10,14
org/assertj/core/internal/Diff,192,10,12
org/assertj/core/api/ThrowableTypeAssert,129,10,10
org/assertj/core/util/diff/DiffUtils,1128,9,50
org/assertj/core/util/DoubleComparator,246,9,22
org/assertj/core/util/FloatComparator,223,9,22
org/assertj/core/util/introspection/PropertyOrFieldSupport,297,9,20
org/assertj/core/util/diff/Chunk,268,9,19
org/assertj/core/internal/AbstractComparisonStrategy,191,9,18
org/assertj/core/util/Strings,209,9,17
org/assertj/core/api/ErrorCollector,190,9,15
org/assertj/core/internal/DeepDifference$DualKey,158,9,14
org/assertj/core/internal/Conditions,155,9,13
org/assertj/core/util/URLs,335,8,26
org/assertj/core/util/IterableUtil,205,8,20
org/assertj/core/error/BasicErrorMessageFactory$UnquotedString,152,8,15
org/assertj/core/error/OptionalShouldContain,176,8,13
org/assertj/core/error/BasicErrorMessageFactory,200,8,12
org/assertj/core/internal/Futures,144,8,12
org/assertj/core/data/MapEntry,111,8,11
org/assertj/core/api/ComparableAssert,16,8,8
org/assertj/core/api/EnumerableAssert,16,8,8
org/assertj/core/util/Throwables,296,7,17
org/assertj/core/internal/TypeComparators,171,7,15
org/assertj/core/api/AbstractOptionalDoubleAssert,192,7,13
org/assertj/core/error/ShouldHaveMethods,241,7,12
org/assertj/core/util/Sets,126,7,11
org/assertj/core/groups/Tuple,118,7,10
org/assertj/core/error/ShouldHaveParent,159,7,9
org/assertj/core/groups/Properties,109,7,8
org/assertj/core/internal/Objects$ByFieldsComparison,86,7,8
org/assertj/core/internal/RealNumbers,76,7,8
org/assertj/core/error/ShouldContainCharSequence,123,7,7
org/assertj/core/api/AbstractBooleanAssert,88,7,7
org/assertj/core/api/AbstractEnumerableAssert,74,7,7
org/assertj/core/internal/CommonErrors,73,7,7
org/assertj/core/api/Fail,71,7,7
org/assertj/core/extractor/Extractors,71,7,7
org/assertj/core/api/FloatingPointNumberAssert,32,7,7
org/assertj/core/util/diff/myers/MyersDiff,594,6,35
org/assertj/core/util/Objects,225,6,22
org/assertj/core/internal/IterableElementComparisonStrategy,157,6,16
org/assertj/core/internal/AtomicReferenceArrayElementComparisonStrategy,148,6,16
