Class Method Name, LOC (from CFG), Cyclomatic Complexity
org/assertj/core/api/AbstractIterableAssert.haveExactly,10.0,1.0
org/assertj/core/api/AbstractIterableAssert.contains,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.containsNull,7.0,1.0
org/assertj/core/api/AbstractIterableAssert.haveAtLeast,10.0,1.0
org/assertj/core/api/AbstractIterableAssert.usingComparator,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.isNotOfAnyClassIn,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.doesNotContainNull,7.0,1.0
org/assertj/core/api/AbstractIterableAssert.containsExactlyInAnyOrder,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.doesNotContain,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.doesNotContainSequence,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.doesNotContainSequence,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.is,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.usingDefaultElementComparator,7.0,1.0
org/assertj/core/api/AbstractIterableAssert.usingElementComparator,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.hasSize,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.endsWith,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.overridingErrorMessage,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.isNotIn,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.isNotIn,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.areExactly,10.0,1.0
org/assertj/core/api/AbstractIterableAssert.isNotExactlyInstanceOf,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.isExactlyInstanceOf,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.doesNotHave,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.hasAtLeastOneElementOfType,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.haveAtMost,10.0,1.0
org/assertj/core/api/AbstractIterableAssert.isNotSameAs,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.isEqualTo,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.isNotInstanceOfAny,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.have,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.areAtLeast,10.0,1.0
org/assertj/core/api/AbstractIterableAssert.inBinary,7.0,1.0
org/assertj/core/api/AbstractIterableAssert.isSubsetOf,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.isSubsetOf,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.areAtMost,10.0,1.0
org/assertj/core/api/AbstractIterableAssert.isInstanceOfAny,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.hasToString,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.isNotInstanceOf,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.containsSubsequence,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.containsSubsequence,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.isNot,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.has,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.hasOnlyElementsOfType,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.isNotEmpty,7.0,1.0
org/assertj/core/api/AbstractIterableAssert.containsSequence,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.containsSequence,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.hasSameElementsAs,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.usingDefaultComparator,7.0,1.0
org/assertj/core/api/AbstractIterableAssert.isNotEqualTo,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.areAtLeastOne,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.containsOnlyElementsOf,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.as,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.as,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.startsWith,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.isInstanceOf,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.containsExactlyElementsOf,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.containsAll,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.isOfAnyClassIn,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.inHexadecimal,7.0,1.0
org/assertj/core/api/AbstractIterableAssert.hasSameClassAs,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.are,9.0,1.0
org/assertj/core/api/AbstractIterableAssert.isSameAs,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.isIn,8.0,1.0
org/assertj/core/api/AbstractIterableAssert.isIn,8.0,1.0
org/assertj/core/api/AbstractIterableSizeAssert.<init>,11.0,1.0
org/assertj/core/api/AbstractIterableSizeAssert.returnToIterable,2.0,1.0
org/assertj/core/api/AbstractListAssert.<init>,16.0,1.0
org/assertj/core/api/AbstractListAssert.contains,20.0,1.0
org/assertj/core/api/AbstractListAssert.doesNotContain,20.0,1.0
org/assertj/core/api/AbstractListAssert.has,20.0,1.0
org/assertj/core/api/AbstractListAssert.is,20.0,1.0
org/assertj/core/api/AbstractListAssert.isSorted,18.0,1.0
org/assertj/core/api/AbstractListAssert.isSortedAccordingTo,19.0,1.0
org/assertj/core/api/AbstractListAssert.usingElementComparator,25.0,1.0
org/assertj/core/api/AbstractListAssert.usingDefaultElementComparator,18.0,1.0
org/assertj/core/api/AbstractListAssert.usingComparisonStrategy,22.0,1.0
org/assertj/core/api/AbstractListAssert.as,10.0,1.0
org/assertj/core/api/AbstractListAssert.as,9.0,1.0
org/assertj/core/api/AbstractListAssert.describedAs,9.0,1.0
org/assertj/core/api/AbstractListAssert.describedAs,10.0,1.0
org/assertj/core/api/AbstractListAssert.doesNotHave,9.0,1.0
org/assertj/core/api/AbstractListAssert.doesNotHaveSameClassAs,9.0,1.0
org/assertj/core/api/AbstractListAssert.has,9.0,1.0
org/assertj/core/api/AbstractListAssert.hasSameClassAs,9.0,1.0
org/assertj/core/api/AbstractListAssert.hasToString,9.0,1.0
org/assertj/core/api/AbstractListAssert.is,9.0,1.0
org/assertj/core/api/AbstractListAssert.isEqualTo,9.0,1.0
org/assertj/core/api/AbstractListAssert.isExactlyInstanceOf,9.0,1.0
org/assertj/core/api/AbstractListAssert.isIn,9.0,1.0
org/assertj/core/api/AbstractListAssert.isIn,9.0,1.0
org/assertj/core/api/AbstractListAssert.isInstanceOf,9.0,1.0
org/assertj/core/api/AbstractListAssert.isInstanceOfAny,9.0,1.0
org/assertj/core/api/AbstractListAssert.isNot,9.0,1.0
org/assertj/core/api/AbstractListAssert.isNotEqualTo,9.0,1.0
org/assertj/core/api/AbstractListAssert.isNotExactlyInstanceOf,9.0,1.0
org/assertj/core/api/AbstractListAssert.isNotIn,9.0,1.0
org/assertj/core/api/AbstractListAssert.isNotIn,9.0,1.0
org/assertj/core/api/AbstractListAssert.isNotInstanceOf,9.0,1.0
org/assertj/core/api/AbstractListAssert.isNotInstanceOfAny,9.0,1.0
org/assertj/core/api/AbstractListAssert.isNotOfAnyClassIn,9.0,1.0
org/assertj/core/api/AbstractListAssert.isNotNull,8.0,1.0
org/assertj/core/api/AbstractListAssert.isNotSameAs,9.0,1.0
org/assertj/core/api/AbstractListAssert.isOfAnyClassIn,9.0,1.0
org/assertj/core/api/AbstractListAssert.isSameAs,9.0,1.0
org/assertj/core/api/AbstractListAssert.overridingErrorMessage,10.0,1.0
org/assertj/core/api/AbstractListAssert.usingDefaultComparator,8.0,1.0
org/assertj/core/api/AbstractListAssert.usingComparator,9.0,1.0
org/assertj/core/api/AbstractListAssert.withFailMessage,10.0,1.0
org/assertj/core/api/AbstractListAssert.withThreadDumpOnError,8.0,1.0
org/assertj/core/api/AbstractListAssert.isInstanceOfAny,8.0,1.0
org/assertj/core/api/AbstractListAssert.isNotEqualTo,8.0,1.0
org/assertj/core/api/AbstractListAssert.isEqualTo,8.0,1.0
org/assertj/core/api/AbstractListAssert.isNotNull,7.0,1.0
org/assertj/core/api/AbstractListAssert.usingDefaultElementComparator,7.0,1.0
org/assertj/core/api/AbstractListAssert.usingElementComparator,9.0,1.0
org/assertj/core/api/AbstractListAssert.isIn,8.0,1.0
org/assertj/core/api/AbstractListAssert.isIn,8.0,1.0
org/assertj/core/api/AbstractListAssert.isExactlyInstanceOf,8.0,1.0
org/assertj/core/api/AbstractListAssert.isNotExactlyInstanceOf,8.0,1.0
org/assertj/core/api/AbstractListAssert.isNotOfAnyClassIn,8.0,1.0
org/assertj/core/api/AbstractListAssert.isNotSameAs,8.0,1.0
org/assertj/core/api/AbstractListAssert.isSameAs,8.0,1.0
org/assertj/core/api/AbstractListAssert.isOfAnyClassIn,8.0,1.0
org/assertj/core/api/AbstractListAssert.isInstanceOf,8.0,1.0
org/assertj/core/api/AbstractListAssert.withThreadDumpOnError,7.0,1.0
org/assertj/core/api/AbstractListAssert.usingComparisonStrategy,8.0,1.0
org/assertj/core/api/AbstractListAssert.doesNotHaveSameClassAs,8.0,1.0
org/assertj/core/api/AbstractListAssert.as,8.0,1.0
org/assertj/core/api/AbstractListAssert.as,9.0,1.0
org/assertj/core/api/AbstractListAssert.isNotInstanceOfAny,8.0,1.0
org/assertj/core/api/AbstractListAssert.isNot,9.0,1.0
org/assertj/core/api/AbstractListAssert.doesNotContain,10.0,1.0
org/assertj/core/api/AbstractListAssert.hasToString,8.0,1.0
org/assertj/core/api/AbstractListAssert.usingComparator,9.0,1.0
org/assertj/core/api/AbstractListAssert.overridingErrorMessage,9.0,1.0
org/assertj/core/api/AbstractListAssert.isNotInstanceOf,8.0,1.0
org/assertj/core/api/AbstractListAssert.withFailMessage,9.0,1.0
org/assertj/core/api/AbstractListAssert.has,9.0,1.0
org/assertj/core/api/AbstractListAssert.contains,10.0,1.0
org/assertj/core/api/AbstractListAssert.describedAs,9.0,1.0
org/assertj/core/api/AbstractListAssert.describedAs,8.0,1.0
org/assertj/core/api/AbstractListAssert.usingDefaultComparator,7.0,1.0
org/assertj/core/api/AbstractListAssert.is,9.0,1.0
org/assertj/core/api/AbstractListAssert.isNotIn,8.0,1.0
org/assertj/core/api/AbstractListAssert.isNotIn,8.0,1.0
org/assertj/core/api/AbstractListAssert.doesNotHave,9.0,1.0
org/assertj/core/api/AbstractListAssert.hasSameClassAs,8.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.<init>,16.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.isNullOrEmpty,15.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.isEmpty,15.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.isNotEmpty,18.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.hasSize,19.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.hasSameSizeAs,19.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.contains,19.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.containsOnly,19.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.containsOnlyOnce,19.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.containsSequence,19.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.containsSubsequence,19.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.contains,20.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.doesNotContain,19.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.doesNotContain,20.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.doesNotHaveDuplicates,18.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.startsWith,19.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.endsWith,19.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.isSorted,18.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.isSortedAccordingTo,19.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.usingElementComparator,19.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.usingDefaultElementComparator,13.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.containsExactly,19.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.containsExactlyInAnyOrder,19.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.hasSameSizeAs,8.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.isSortedAccordingTo,9.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.usingElementComparator,9.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.usingDefaultElementComparator,7.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.hasSize,8.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.isSorted,7.0,1.0
org/assertj/core/api/AbstractLongArrayAssert.isNotEmpty,7.0,1.0
org/assertj/core/api/AbstractLongAssert.<init>,16.0,1.0
org/assertj/core/api/AbstractLongAssert.isEqualTo,20.0,1.0
org/assertj/core/api/AbstractLongAssert.isNotEqualTo,20.0,1.0
org/assertj/core/api/AbstractLongAssert.isZero,18.0,1.0
org/assertj/core/api/AbstractLongAssert.isNotZero,18.0,1.0
org/assertj/core/api/AbstractLongAssert.isOne,18.0,1.0
org/assertj/core/api/AbstractLongAssert.isPositive,18.0,1.0
org/assertj/core/api/AbstractLongAssert.isNegative,18.0,1.0
org/assertj/core/api/AbstractLongAssert.isNotNegative,18.0,1.0
org/assertj/core/api/AbstractLongAssert.isNotPositive,18.0,1.0
org/assertj/core/api/AbstractLongAssert.isLessThan,20.0,1.0
org/assertj/core/api/AbstractLongAssert.isLessThanOrEqualTo,20.0,1.0
org/assertj/core/api/AbstractLongAssert.isGreaterThan,20.0,1.0
org/assertj/core/api/AbstractLongAssert.isGreaterThanOrEqualTo,20.0,1.0
org/assertj/core/api/AbstractLongAssert.isBetween,20.0,1.0
org/assertj/core/api/AbstractLongAssert.isStrictlyBetween,20.0,1.0
org/assertj/core/api/AbstractLongAssert.isCloseTo,21.0,1.0
org/assertj/core/api/AbstractLongAssert.isNotCloseTo,21.0,1.0
org/assertj/core/api/AbstractLongAssert.isCloseTo,20.0,1.0
org/assertj/core/api/AbstractLongAssert.isNotCloseTo,20.0,1.0
org/assertj/core/api/AbstractLongAssert.isCloseTo,20.0,1.0
org/assertj/core/api/AbstractLongAssert.isNotCloseTo,20.0,1.0
org/assertj/core/api/AbstractLongAssert.isCloseTo,21.0,1.0
org/assertj/core/api/AbstractLongAssert.isNotCloseTo,21.0,1.0
org/assertj/core/api/AbstractLongAssert.usingComparator,25.0,1.0
org/assertj/core/api/AbstractLongAssert.usingDefaultComparator,18.0,1.0
org/assertj/core/api/AbstractLongAssert.isNotNegative,7.0,1.0
org/assertj/core/api/AbstractLongAssert.isOne,7.0,1.0
org/assertj/core/api/AbstractLongAssert.isStrictlyBetween,11.0,1.0
org/assertj/core/api/AbstractLongAssert.isStrictlyBetween,11.0,1.0
org/assertj/core/api/AbstractLongAssert.isNegative,7.0,1.0
org/assertj/core/api/AbstractLongAssert.isPositive,7.0,1.0
org/assertj/core/api/AbstractLongAssert.usingComparator,9.0,1.0
org/assertj/core/api/AbstractLongAssert.isBetween,11.0,1.0
org/assertj/core/api/AbstractLongAssert.isBetween,11.0,1.0
org/assertj/core/api/AbstractLongAssert.isNotCloseTo,10.0,1.0
org/assertj/core/api/AbstractLongAssert.isNotCloseTo,11.0,1.0
org/assertj/core/api/AbstractLongAssert.isCloseTo,10.0,1.0
org/assertj/core/api/AbstractLongAssert.isCloseTo,11.0,1.0
org/assertj/core/api/AbstractLongAssert.isNotZero,7.0,1.0
org/assertj/core/api/AbstractLongAssert.isNotPositive,7.0,1.0
org/assertj/core/api/AbstractLongAssert.usingDefaultComparator,7.0,1.0
org/assertj/core/api/AbstractLongAssert.isZero,7.0,1.0
org/assertj/core/api/AbstractMapAssert.<init>,16.0,1.0
org/assertj/core/api/AbstractMapAssert.isNullOrEmpty,15.0,1.0
org/assertj/core/api/AbstractMapAssert.isEmpty,15.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotEmpty,18.0,1.0
org/assertj/core/api/AbstractMapAssert.hasSize,19.0,1.0
org/assertj/core/api/AbstractMapAssert.hasSameSizeAs,19.0,1.0
org/assertj/core/api/AbstractMapAssert.hasSameSizeAs,19.0,1.0
org/assertj/core/api/AbstractMapAssert.hasSameSizeAs,19.0,1.0
org/assertj/core/api/AbstractMapAssert.contains,19.0,1.0
org/assertj/core/api/AbstractMapAssert.containsAnyOf,19.0,1.0
org/assertj/core/api/AbstractMapAssert.containsAllEntriesOf,29.0,1.0
org/assertj/core/api/AbstractMapAssert.containsEntry,28.0,1.0
org/assertj/core/api/AbstractMapAssert.hasEntrySatisfying,20.0,1.0
org/assertj/core/api/AbstractMapAssert.hasEntrySatisfying,19.0,1.0
org/assertj/core/api/AbstractMapAssert.hasEntrySatisfying,20.0,1.0
org/assertj/core/api/AbstractMapAssert.hasKeySatisfying,19.0,1.0
org/assertj/core/api/AbstractMapAssert.hasValueSatisfying,19.0,1.0
org/assertj/core/api/AbstractMapAssert.doesNotContain,19.0,1.0
org/assertj/core/api/AbstractMapAssert.doesNotContainEntry,28.0,1.0
org/assertj/core/api/AbstractMapAssert.containsKey,13.0,1.0
org/assertj/core/api/AbstractMapAssert.containsKeys,19.0,1.0
org/assertj/core/api/AbstractMapAssert.doesNotContainKey,13.0,1.0
org/assertj/core/api/AbstractMapAssert.doesNotContainKeys,19.0,1.0
org/assertj/core/api/AbstractMapAssert.containsOnlyKeys,19.0,1.0
org/assertj/core/api/AbstractMapAssert.containsValue,19.0,1.0
org/assertj/core/api/AbstractMapAssert.containsValues,19.0,1.0
org/assertj/core/api/AbstractMapAssert.doesNotContainValue,19.0,1.0
org/assertj/core/api/AbstractMapAssert.containsOnly,19.0,1.0
org/assertj/core/api/AbstractMapAssert.containsExactly,19.0,1.0
org/assertj/core/api/AbstractMapAssert.usingElementComparator,9.0,1.0
org/assertj/core/api/AbstractMapAssert.usingDefaultElementComparator,9.0,1.0
org/assertj/core/api/AbstractMapAssert.as,10.0,1.0
org/assertj/core/api/AbstractMapAssert.as,9.0,1.0
org/assertj/core/api/AbstractMapAssert.describedAs,9.0,1.0
org/assertj/core/api/AbstractMapAssert.describedAs,10.0,1.0
org/assertj/core/api/AbstractMapAssert.doesNotHave,9.0,1.0
org/assertj/core/api/AbstractMapAssert.doesNotHaveSameClassAs,9.0,1.0
org/assertj/core/api/AbstractMapAssert.has,9.0,1.0
org/assertj/core/api/AbstractMapAssert.hasSameClassAs,9.0,1.0
org/assertj/core/api/AbstractMapAssert.hasToString,9.0,1.0
org/assertj/core/api/AbstractMapAssert.is,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isEqualTo,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isExactlyInstanceOf,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isIn,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isIn,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isInstanceOf,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isInstanceOfAny,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isNot,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotEqualTo,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotExactlyInstanceOf,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotIn,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotIn,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotInstanceOf,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotInstanceOfAny,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotOfAnyClassIn,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotNull,8.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotSameAs,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isOfAnyClassIn,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isSameAs,9.0,1.0
org/assertj/core/api/AbstractMapAssert.overridingErrorMessage,10.0,1.0
org/assertj/core/api/AbstractMapAssert.usingDefaultComparator,8.0,1.0
org/assertj/core/api/AbstractMapAssert.usingComparator,9.0,1.0
org/assertj/core/api/AbstractMapAssert.withFailMessage,10.0,1.0
org/assertj/core/api/AbstractMapAssert.withThreadDumpOnError,8.0,1.0
org/assertj/core/api/AbstractMapAssert.size,22.0,1.0
org/assertj/core/api/AbstractMapAssert.extracting,8.0,1.0
org/assertj/core/api/AbstractMapAssert.hasSameSizeAs,8.0,1.0
org/assertj/core/api/AbstractMapAssert.hasSameSizeAs,8.0,1.0
org/assertj/core/api/AbstractMapAssert.describedAs,9.0,1.0
org/assertj/core/api/AbstractMapAssert.describedAs,8.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotNull,7.0,1.0
org/assertj/core/api/AbstractMapAssert.doesNotHaveSameClassAs,8.0,1.0
org/assertj/core/api/AbstractMapAssert.withFailMessage,9.0,1.0
org/assertj/core/api/AbstractMapAssert.withThreadDumpOnError,7.0,1.0
org/assertj/core/api/AbstractMapAssert.usingComparator,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotOfAnyClassIn,8.0,1.0
org/assertj/core/api/AbstractMapAssert.is,9.0,1.0
org/assertj/core/api/AbstractMapAssert.usingDefaultElementComparator,7.0,1.0
org/assertj/core/api/AbstractMapAssert.usingElementComparator,9.0,1.0
org/assertj/core/api/AbstractMapAssert.overridingErrorMessage,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotIn,8.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotIn,8.0,1.0
org/assertj/core/api/AbstractMapAssert.hasSize,8.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotExactlyInstanceOf,8.0,1.0
org/assertj/core/api/AbstractMapAssert.isExactlyInstanceOf,8.0,1.0
org/assertj/core/api/AbstractMapAssert.doesNotHave,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotSameAs,8.0,1.0
org/assertj/core/api/AbstractMapAssert.isEqualTo,8.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotInstanceOfAny,8.0,1.0
org/assertj/core/api/AbstractMapAssert.isInstanceOfAny,8.0,1.0
org/assertj/core/api/AbstractMapAssert.hasToString,8.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotInstanceOf,8.0,1.0
org/assertj/core/api/AbstractMapAssert.isNot,9.0,1.0
org/assertj/core/api/AbstractMapAssert.has,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotEmpty,7.0,1.0
org/assertj/core/api/AbstractMapAssert.usingDefaultComparator,7.0,1.0
org/assertj/core/api/AbstractMapAssert.isNotEqualTo,8.0,1.0
org/assertj/core/api/AbstractMapAssert.as,8.0,1.0
org/assertj/core/api/AbstractMapAssert.as,9.0,1.0
org/assertj/core/api/AbstractMapAssert.isInstanceOf,8.0,1.0
org/assertj/core/api/AbstractMapAssert.isOfAnyClassIn,8.0,1.0
org/assertj/core/api/AbstractMapAssert.hasSameClassAs,8.0,1.0
org/assertj/core/api/AbstractMapAssert.isIn,8.0,1.0
org/assertj/core/api/AbstractMapAssert.isIn,8.0,1.0
org/assertj/core/api/AbstractMapAssert.isSameAs,8.0,1.0
org/assertj/core/api/AbstractMapSizeAssert.<init>,11.0,1.0
org/assertj/core/api/AbstractMapSizeAssert.returnToMap,2.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.<init>,30.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.as,9.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.as,10.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.isNullOrEmpty,15.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.isEmpty,15.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.isNotEmpty,18.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.hasSize,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.hasSameSizeAs,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.hasSameSizeAs,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.contains,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.containsOnly,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.containsOnlyElementsOf,9.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.hasSameElementsAs,8.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.containsOnlyOnce,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.containsExactly,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.containsExactlyInAnyOrder,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.containsExactlyElementsOf,9.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.containsSequence,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.containsSequence,24.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.doesNotContainSequence,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.doesNotContainSequence,24.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.containsSubsequence,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.containsSubsequence,24.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.doesNotContainSubsequence,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.doesNotContainSubsequence,24.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.contains,20.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.hasOnlyElementsOfTypes,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.doesNotContain,20.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.doesNotContain,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.doesNotContainAnyElementsOf,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.doesNotHaveDuplicates,18.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.startsWith,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.endsWith,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.isSubsetOf,18.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.isSubsetOf,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.containsNull,18.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.doesNotContainNull,18.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.are,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.areNot,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.have,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.doNotHave,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.areAtLeast,20.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.areAtLeastOne,15.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.areAtMost,20.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.areExactly,20.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.haveAtLeastOne,9.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.haveAtLeast,20.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.haveAtMost,20.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.haveExactly,20.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.hasAtLeastOneElementOfType,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.hasOnlyElementsOfType,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.isSorted,18.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.isSortedAccordingTo,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.containsAll,19.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.usingElementComparator,30.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.usingDefaultElementComparator,13.0,1.0
org/assertj/core/api/AbstractObjectArrayAssert.usingComparatorForElementFieldsWithNames,40.0,2.0
