Class Name,LOC (from Methods CFG),Number of Methods, Weighed Method Count
org/assertj/core/api/ComparableAssert,16,8,8
org/assertj/core/api/EnumerableAssert,16,8,8
org/assertj/core/util/Throwables,297,7,17
org/assertj/core/error/ShouldHaveMethods,241,7,12
org/assertj/core/internal/TypeComparators,171,7,15
org/assertj/core/error/ShouldHaveParent,159,7,9
org/assertj/core/util/Sets,126,7,11
org/assertj/core/error/ShouldContainCharSequence,123,7,7
org/assertj/core/groups/Tuple,117,7,10
org/assertj/core/groups/Properties,109,7,8
org/assertj/core/api/SoftProxies$CollectErrorsOrCreateExtractedProxy,101,7,9
org/assertj/core/api/AbstractBooleanAssert,88,7,7
org/assertj/core/internal/Objects$ByFieldsComparison,86,7,8
org/assertj/core/internal/RealNumbers,76,7,8
org/assertj/core/api/AbstractEnumerableAssert,74,7,7
org/assertj/core/internal/CommonErrors,73,7,7
org/assertj/core/api/Fail,71,7,7
org/assertj/core/extractor/Extractors,71,7,7
org/assertj/core/util/diff/myers/MyersDiff,594,6,35
org/assertj/core/util/Objects,225,6,22
org/assertj/core/error/ShouldBeSorted,207,6,8
org/assertj/core/error/ShouldBeBetween,176,6,10
org/assertj/core/data/Percentage,165,6,12
org/assertj/core/util/introspection/MethodSupport,160,6,9
org/assertj/core/internal/IterableDiff,155,6,12
org/assertj/core/internal/IterableElementComparisonStrategy,151,6,16
org/assertj/core/error/uri/ShouldHavePort,142,6,8
org/assertj/core/internal/AtomicReferenceArrayElementComparisonStrategy,140,6,16
org/assertj/core/internal/ObjectArrayElementComparisonStrategy,140,6,16
org/assertj/core/error/uri/ShouldHavePath,135,6,8
org/assertj/core/error/uri/ShouldHaveQuery,134,6,8
org/assertj/core/error/uri/ShouldHaveUserInfo,134,6,8
org/assertj/core/util/Lists,127,6,11
org/assertj/core/error/MessageFormatter,122,6,8
org/assertj/core/util/ArrayWrapperList,117,6,9
org/assertj/core/presentation/NumberGrouping,114,6,10
org/assertj/core/error/ShouldHaveSameContent,111,6,6
org/assertj/core/api/AtomicBooleanAssert,99,6,7
org/assertj/core/internal/Booleans,94,6,8
org/assertj/core/api/AtomicMarkableReferenceAssert,87,6,8
org/assertj/core/condition/AllOf,85,6,8
org/assertj/core/condition/AnyOf,85,6,8
org/assertj/core/error/ShouldNotExist,83,6,7
org/assertj/core/internal/Characters,82,6,8
org/assertj/core/util/introspection/FieldUtils,292,5,18
org/assertj/core/util/introspection/Introspection,246,5,12
org/assertj/core/error/ShouldOnlyHaveFields,208,5,10
org/assertj/core/error/ShouldBeEqualToIgnoringFields,207,5,8
org/assertj/core/error/ShouldHaveCause,182,5,9
org/assertj/core/internal/OnFieldsComparator,182,5,11
org/assertj/core/extractor/ByNameMultipleExtractor,177,5,10
org/assertj/core/util/diff/ChangeDelta,163,5,8
org/assertj/core/error/ShouldContainsOnlyOnce,153,5,8
org/assertj/core/error/ShouldHaveNoNullFields,149,5,8
org/assertj/core/util/diff/myers/PathNode,145,5,11
org/assertj/core/data/Offset,132,5,9
org/assertj/core/presentation/UnicodeRepresentation,132,5,9
org/assertj/core/condition/Join,130,5,9
org/assertj/core/data/Index,125,5,10
org/assertj/core/util/TextFileWriter,119,5,7
org/assertj/core/util/diff/InsertDelta,115,5,7
org/assertj/core/internal/InputStreams,114,5,7
org/assertj/core/internal/FieldByFieldComparator,113,5,11
org/assertj/core/error/ShouldBeInstance,112,5,6
org/assertj/core/internal/RecursiveFieldByFieldComparator,109,5,14
org/assertj/core/api/SoftProxies,99,5,5
org/assertj/core/api/AbstractAtomicFieldUpdaterAssert,98,5,8
org/assertj/core/util/diff/DeleteDelta,94,5,6
org/assertj/core/error/ClassModifierShouldBe,90,5,6
org/assertj/core/api/AbstractFutureAssert,88,5,5
org/assertj/core/internal/IgnoringFieldsComparator,84,5,6
org/assertj/core/internal/DeepDifference$Difference,70,5,5
org/assertj/core/error/ShouldExist,69,5,6
org/assertj/core/api/AtomicStampedReferenceAssert,65,5,6
org/assertj/core/description/Description,61,5,9
org/assertj/core/api/AtomicIntegerFieldUpdaterAssert,53,5,5
org/assertj/core/api/AtomicLongFieldUpdaterAssert,53,5,5
org/assertj/core/api/FloatingPointNumberAssert,10,5,5
org/assertj/core/internal/BinaryDiff,153,4,12
org/assertj/core/error/ShouldContainOnly,150,4,7
org/assertj/core/util/xml/XmlStringPrettyFormatter,146,4,7
org/assertj/core/util/introspection/ClassUtils,140,4,10
org/assertj/core/api/SoftAssertionError,117,4,6
org/assertj/core/description/TextDescription,114,4,11
org/assertj/core/error/ShouldContainOnlyKeys,108,4,5
org/assertj/core/error/ShouldContainCharSequenceOnlyOnce,107,4,6
org/assertj/core/error/ShouldHaveNoFields,95,4,7
org/assertj/core/api/ProxifyExtractingResult,94,4,6
org/assertj/core/error/ShouldHaveBinaryContent,88,4,4
org/assertj/core/util/diff/Delta$TYPE,88,4,4
org/assertj/core/util/introspection/MemberUtils,87,4,13
org/assertj/core/util/Closeables,86,4,7
org/assertj/core/util/diff/Patch,84,4,5
org/assertj/core/matcher/AssertionMatcher,79,4,6
org/assertj/core/internal/BinaryDiffResult,76,4,6
org/assertj/core/api/IterableAssert$LazyIterable,75,4,6
org/assertj/core/api/ThrowableAssert,75,4,6
org/assertj/core/api/ComparatorFactory$1,74,4,6
org/assertj/core/api/ComparatorFactory$2,74,4,6
org/assertj/core/error/ShouldHaveContent,74,4,4
org/assertj/core/error/ShouldHaveName,70,4,4
org/assertj/core/error/ShouldHaveValue,70,4,4
org/assertj/core/error/uri/ShouldHaveAuthority,70,4,4
org/assertj/core/error/uri/ShouldHaveHost,70,4,4
org/assertj/core/error/ShouldBeAfter,69,4,4
org/assertj/core/error/ShouldContainEntry,69,4,4
org/assertj/core/error/ShouldContainExactlyInAnyOrder$ErrorType,68,4,4
org/assertj/core/error/ShouldContainOnly$ErrorType,68,4,4
org/assertj/core/error/ShouldOnlyHaveFields$ErrorType,68,4,4
org/assertj/core/util/diff/DeltaComparator,65,4,6
org/assertj/core/error/ShouldContainOnlyDigits,64,4,4
org/assertj/core/error/ShouldContainValue,60,4,4
